CUS_CUST_ID_BUY,MAU_MP_3,MAU_ML_3,MAU_MP_2,MAU_ML_2,MAU_MP_1,MAU_ML_1,last_login_mp_date_1,last_login_ml_date_1
424070401,,,1.0,0.0,,,,
271894453,1.0,14.0,11.0,21.0,2.0,12.0,2019-05-17,2019-05-24
327402711,,,0.0,10.0,4.0,26.0,2019-05-28,2019-05-31
310355113,5.0,18.0,5.0,7.0,3.0,10.0,2019-05-21,2019-05-29
59350476,1.0,18.0,5.0,17.0,4.0,27.0,2019-05-31,2019-05-31
19118101,14.0,21.0,14.0,27.0,13.0,27.0,2019-05-27,2019-05-31
299481475,15.0,23.0,17.0,25.0,15.0,27.0,2019-05-31,2019-05-31
268946327,12.0,19.0,9.0,17.0,17.0,22.0,2019-05-30,2019-05-31
224456651,1.0,24.0,11.0,29.0,0.0,25.0,2019-05-31,2019-05-31
396103263,1.0,6.0,0.0,2.0,4.0,3.0,2019-05-30,2019-05-24
306910942,19.0,20.0,11.0,9.0,13.0,11.0,2019-05-27,2019-05-31
44589257,12.0,11.0,5.0,7.0,10.0,14.0,2019-05-31,2019-05-31
351438099,16.0,0.0,8.0,0.0,5.0,0.0,2019-05-31,2019-05-31
186767760,4.0,3.0,0.0,4.0,1.0,3.0,2019-05-10,2019-05-31
74353561,3.0,16.0,6.0,14.0,3.0,15.0,2019-05-28,2019-05-31
30523493,12.0,17.0,17.0,24.0,20.0,31.0,2019-05-31,2019-05-31
151749859,0.0,20.0,0.0,26.0,0.0,27.0,2019-05-31,2019-05-31
71904669,13.0,9.0,18.0,15.0,20.0,11.0,2019-05-30,2019-05-31
3359956,0.0,29.0,0.0,29.0,3.0,22.0,2019-05-25,2019-05-31
384446009,22.0,0.0,10.0,0.0,2.0,0.0,2019-05-17,2019-05-17
426426177,,,2.0,3.0,6.0,8.0,2019-05-27,2019-05-27
32688877,0.0,4.0,0.0,6.0,0.0,5.0,2019-05-30,2019-05-30
418545194,2.0,0.0,2.0,0.0,4.0,0.0,2019-05-13,2019-05-13
206446865,1.0,2.0,3.0,7.0,4.0,14.0,2019-05-20,2019-05-31
326378600,7.0,0.0,21.0,13.0,9.0,16.0,2019-05-31,2019-05-31
134686570,18.0,15.0,16.0,16.0,17.0,19.0,2019-05-31,2019-05-31
393035907,7.0,0.0,4.0,0.0,6.0,0.0,2019-05-24,2019-05-24
388904242,12.0,4.0,12.0,0.0,8.0,0.0,2019-05-29,2019-05-29
57711833,8.0,0.0,9.0,0.0,5.0,0.0,2019-05-24,2019-05-24
57648126,,,,,5.0,0.0,2019-05-27,2019-05-27
170639928,,,,,,,,
270657078,11.0,26.0,11.0,24.0,8.0,20.0,2019-05-29,2019-05-29
191588927,,,,,,,,
