CITY,CUS_CUST_ID_BUY,GENDER,RANGO_EDAD,TARJETAS,ESTADO
caba,47629682,male,03.Entre 26 y 30 años,Credit Card,capital federal
belen de escobar,184288617,male,03.Entre 26 y 30 años,Account Money,buenos aires
san fernando del valle de catamarca,134359455,female,03.Entre 26 y 30 años,Debit Card,catamarca
lomas de zamora,126256149,female,07.Entre 56 y 65 años,Account Money,buenos aires
villa manzano,447582139,male,02.Entre 18 y 25 años,Debit Card,rio negro
capital federal,100387,male,06.Entre 41 y 55 años,Credit Card,capital federal
capital federal,130258395,female,03.Entre 26 y 30 años,Ticket,capital federal
cordoba,31263465,female,04.Entre 31 y 35 años,Credit Card,cordoba
salta,185519885,male,03.Entre 26 y 30 años,Account Money,salta
balvanera,348115301,male,00. Sin Dato,Debit Card,capital federal
caba,90218200,male,06.Entre 41 y 55 años,Credit Card,capital federal
cañuelas,438063513,female,02.Entre 18 y 25 años,Account Money,buenos aires
centro,57374971,female,05.Entre 36 y 40 años,Debit Card,capital federal
caba,102276665,male,05.Entre 36 y 40 años,Credit Card,capital federal
baradero,210309541,male,05.Entre 36 y 40 años,Debit Card,capital federal
castelar,22302145,female,06.Entre 41 y 55 años,Credit Card,buenos aires
villa raffo,85808482,male,07.Entre 56 y 65 años,Account Money,buenos aires
bo. aviacion,331380783,female,00. Sin Dato,Credit Card,buenos aires
capital federal retiro,176515358,female,00. Sin Dato,Credit Card,capital federal
villa del parque,90862504,female,06.Entre 41 y 55 años,Credit Card,capital federal
san fernando del valle de catamarca,178176991,male,03.Entre 26 y 30 años,Account Money,catamarca
allen,165413557,male,04.Entre 31 y 35 años,Credit Card,rio negro
san fernando,55212260,male,00. Sin Dato,Account Money,buenos aires
libertador general san martin,326561513,female,04.Entre 31 y 35 años,Account Money,jujuy
rosario,232724193,male,03.Entre 26 y 30 años,Account Money,capital federal
trenque lauquen,155814116,female,06.Entre 41 y 55 años,Credit Card,buenos aires
lomas de zamora,396052985,male,02.Entre 18 y 25 años,Credit Card,buenos aires
barracas,61180063,male,05.Entre 36 y 40 años,Credit Card,capital federal
,92672286,male,04.Entre 31 y 35 años,Credit Card,neuquen
saavedra,51592734,male,06.Entre 41 y 55 años,Credit Card,capital federal
,18330268,male,00. Sin Dato,Debit Card,buenos aires
general las heras,311881525,female,02.Entre 18 y 25 años,Debit Card,buenos aires
caba,335391652,female,04.Entre 31 y 35 años,Credit Card,capital federal
capital federal,86506950,female,06.Entre 41 y 55 años,Ticket,capital federal
,20516570,male,00. Sin Dato,Credit Card,misiones
lomas de zamora,64548218,male,00. Sin Dato,Credit Card,buenos aires
la boca,49005343,male,04.Entre 31 y 35 años,Credit Card,capital federal
caba,263206324,male,06.Entre 41 y 55 años,Credit Card,buenos aires
capital federal,48307615,male,06.Entre 41 y 55 años,Account Money,capital federal
caba,322670266,female,03.Entre 26 y 30 años,Account Money,capital federal
buenos aires lomas de zamora,426187087,female,02.Entre 18 y 25 años,Debit Card,buenos aires
general san martin,334528727,male,00. Sin Dato,Debit Card,buenos aires
recoleta,71904669,male,06.Entre 41 y 55 años,Account Money,capital federal
san salvador de jujuy,118954327,male,02.Entre 18 y 25 años,Debit Card,buenos aires
san justo,285880623,male,06.Entre 41 y 55 años,Credit Card,buenos aires
caba,48240380,male,04.Entre 31 y 35 años,Debit Card,buenos aires
caba,129143260,male,05.Entre 36 y 40 años,Credit Card,capital federal
del viso,192024156,Unknown,04.Entre 31 y 35 años,Account Money,buenos aires
san miguel,218729802,female,06.Entre 41 y 55 años,Ticket,buenos aires
posadas,445648333,female,00. Sin Dato,Debit Card,misiones
microcentro,119040486,male,00. Sin Dato,Account Money,capital federal
pueyrredon,173086454,female,04.Entre 31 y 35 años,Credit Card,buenos aires
corrientes,90573958,male,03.Entre 26 y 30 años,Account Money,corrientes
carrodilla la puntilla,160874357,male,02.Entre 18 y 25 años,Account Money,mendoza
ciudad autonoma de buenos aires,154586606,male,02.Entre 18 y 25 años,Account Money,chubut
oeste,278914167,Unknown,02.Entre 18 y 25 años,Account Money,capital federal
quilmes,129627547,female,00. Sin Dato,Debit Card,buenos aires
mendoza,19060439,female,06.Entre 41 y 55 años,Credit Card,mendoza
virrey del pino,152463455,male,03.Entre 26 y 30 años,Debit Card,buenos aires
capital federal,84631235,male,07.Entre 56 y 65 años,Credit Card,capital federal
,41771875,female,06.Entre 41 y 55 años,Credit Card,capital federal
moreno,220442049,male,02.Entre 18 y 25 años,Account Money,buenos aires
arroyo seco,432421816,female,04.Entre 31 y 35 años,Debit Card,santa fe
general arenales,432050663,male,02.Entre 18 y 25 años,Account Money,buenos aires
concepcion,279728787,female,03.Entre 26 y 30 años,Debit Card,tucuman
san miguel,90837605,male,04.Entre 31 y 35 años,Credit Card,buenos aires
san juan,181562280,male,07.Entre 56 y 65 años,Account Money,san juan
la plata,161556467,male,06.Entre 41 y 55 años,Account Money,buenos aires
chacabuco,265795652,male,06.Entre 41 y 55 años,Credit Card,buenos aires
ciudad autonoma de buenos aires,76786339,male,06.Entre 41 y 55 años,Credit Card,capital federal
posadas,164846869,female,05.Entre 36 y 40 años,Account Money,misiones
,86454298,male,06.Entre 41 y 55 años,Credit Card,buenos aires
flores,280765616,female,04.Entre 31 y 35 años,Credit Card,capital federal
san nicolas de los arroyos,290588105,male,03.Entre 26 y 30 años,Credit Card,buenos aires
san miguel de tucuman,317387528,female,02.Entre 18 y 25 años,Credit Card,tucuman
ramos mejia,58646346,male,06.Entre 41 y 55 años,Credit Card,buenos aires
lomas del mirador,122039019,Unknown,06.Entre 41 y 55 años,Debit Card,buenos aires
microcentro,142798983,female,04.Entre 31 y 35 años,Credit Card,buenos aires
lomas de zamora,265990962,male,02.Entre 18 y 25 años,Credit Card,buenos aires
lomas de zamora,151052945,female,06.Entre 41 y 55 años,Credit Card,buenos aires
monte grande barrio 9 de abril,205682897,Unknown,00. Sin Dato,Account Money,buenos aires
san justo,101173642,female,03.Entre 26 y 30 años,Debit Card,buenos aires
la plata,67356190,female,06.Entre 41 y 55 años,Credit Card,buenos aires
belgrano r.,89478401,male,06.Entre 41 y 55 años,Credit Card,capital federal
tigre,186853559,female,00. Sin Dato,Account Money,buenos aires
caba,43985419,male,06.Entre 41 y 55 años,Credit Card,capital federal
san justo,79830607,male,05.Entre 36 y 40 años,Debit Card,buenos aires
puerto madero,64751547,female,04.Entre 31 y 35 años,Credit Card,capital federal
