CUS_CUST_ID_BUY,SPENT_ML,RECENCY_ML,FREQUENCY_ML
53621056,71.51,2019-03-30,1
308208758,269.2,2019-05-30,11
30591970,149.22,2019-03-24,4
343783095,352.15,2019-05-31,11
163876883,1.1,2019-05-10,1
306605560,39.46,2019-02-13,1
91853834,817.92,2019-06-01,5
11011622,148.72,2019-05-10,7
114331746,14.05,2019-05-29,2
171889347,4.66,2019-05-09,1
74347710,100.92,2019-05-06,3
137769413,283.52,2019-05-07,9
185305351,543.5,2019-05-08,16
45965927,426.74,2019-05-31,14
154140122,403.08,2019-05-06,6
33689268,357.22,2019-05-20,13
187792984,377.38,2019-03-30,3
118250727,3548.93,2019-05-30,28
66422024,79.78,2019-01-24,4
101648423,77.41,2019-01-04,1
102073929,178.47,2019-05-15,7
165978683,202.29,2019-05-18,6
177056867,625.76,2019-05-16,11
64386171,86.19,2019-01-30,2
191303384,1050.57,2019-05-27,12
201701152,137.24,2019-05-06,2
10258490,37.5,2019-02-28,3
146577925,69.64,2019-04-05,12
149019731,23.55,2019-01-07,1
74719222,53.96,2019-05-14,7
59834470,476.25,2019-05-15,10
184622946,970.64,2019-05-17,6
168482295,19.45,2019-05-23,2
184427829,68.24,2019-04-25,1
85000979,273.76,2019-02-26,4
54018,1133.54,2019-05-30,15
38661032,1.53,2018-12-05,1
280956380,229.74,2019-05-15,5
86000431,736.96,2019-05-31,3
115965172,55.23,2019-04-10,1
113840341,285.7,2019-04-28,10
115909333,11.27,2019-04-15,1
205282327,287.12,2019-06-01,8
160391220,150.67,2019-03-06,2
23505627,18.17,2018-12-03,1
86036765,130.83,2019-05-24,1
404600020,44.62,2019-05-13,1
306377328,8.7,2019-01-06,1
96526778,134.12,2019-03-08,3
122317888,362.66,2019-04-18,7
295453382,388.52,2019-04-13,14
10362121,2.11,2019-03-21,2
152137764,2.44,2019-05-24,1
115397145,375.57,2019-05-04,7
115827196,70.27,2019-05-29,2
85781168,214.24,2019-05-07,6
325776145,258.62,2019-03-09,1
101398058,464.05,2019-05-21,3
195817449,403.8,2019-05-10,3
97144538,1007.17,2019-05-14,3
371431203,51.19,2019-01-16,1
30452077,147.7,2019-01-23,1
80134292,77.25,2019-03-07,1
192462969,5236.0,2019-05-29,75
18881234,94.72,2019-04-15,2
236553128,518.89,2019-03-25,7
181782739,404.19,2019-05-16,7
45060190,1.56,2019-05-15,1
199856938,359.97,2019-05-29,6
144602576,59.9,2019-03-11,1
54909931,178.51,2019-05-14,2
180928104,5.88,2019-05-23,1
346728096,118.11,2019-05-17,2
99039763,170.28,2019-04-08,4
244843605,14.73,2019-02-01,1
2050837,2622.71,2019-05-23,23
346672305,20.13,2019-03-11,4
108989916,109.35,2019-05-24,3
181497457,105.13,2019-04-28,2
123920471,281.77,2019-05-10,1
161149041,78.07,2019-05-25,1
2305843,30.0,2019-05-28,2
282217631,344.68,2019-05-27,5
35406229,808.89,2019-04-20,9
59201159,94.84,2019-05-01,4
299946688,547.79,2019-02-05,5
319014800,55.78,2019-05-13,1
162337456,297.88,2019-01-30,2
25542167,679.97,2019-05-16,17
205356821,58.93,2019-02-05,4
109400486,107.88,2019-02-05,2
227892133,34.69,2019-05-13,4
172978868,297.64,2019-03-28,4
210399336,598.09,2019-05-03,8
426446658,17.85,2019-05-27,1
167567656,332.61,2019-05-01,9
50687941,737.02,2019-04-20,7
149712244,58.33,2018-12-31,1
46538076,104.46,2019-02-04,2
5742297,53.4,2019-04-04,3
232938506,41.97,2019-05-18,6
214421309,73.47,2019-04-23,2
115477106,1.42,2019-05-18,1
265795652,344.61,2019-05-22,3
82083415,1451.84,2019-05-31,7
57401542,2284.15,2019-05-29,40
89879883,124.09,2019-04-22,4
136110804,785.17,2019-04-29,4
84069535,834.07,2019-04-03,7
214401045,276.83,2019-05-14,8
186476322,24.01,2019-05-05,5
15374692,9.32,2019-01-26,1
214074625,369.02,2019-04-24,5
142713,80.57,2019-05-30,3
45605162,7.36,2019-05-26,1
1749841,19.64,2019-04-11,2
224448084,12.7,2018-12-12,1
196567151,252.46,2019-05-20,5
98201794,226.46,2019-06-01,5
244418882,89.26,2019-03-12,4
281407310,319.37,2019-05-29,3
175982451,274.44,2019-05-10,9
435901145,56.57,2019-05-29,1
298614475,10.26,2019-05-29,2
65078780,79.35,2019-03-17,3
172558190,42.6,2019-01-24,1
366861016,50.25,2019-05-08,1
95597938,13.78,2019-01-03,1
209292703,217.85,2019-03-12,3
45006979,1880.27,2019-05-29,44
33835911,165.62,2019-02-08,2
24576330,6.55,2018-12-16,1
7926282,6.5,2018-12-02,1
59431265,67.94,2018-12-24,1
71407778,42.3,2019-05-31,2
139815826,364.79,2019-04-26,8
178993730,628.75,2019-04-20,8
27987927,1.12,2019-03-20,1
133432882,249.53,2019-05-20,14
200665179,115.54,2019-05-21,3
57153637,856.84,2019-05-29,11
154891861,91.93,2019-05-17,3
46307168,304.53,2019-05-02,10
120293282,284.63,2019-05-30,4
93527029,8.75,2019-02-27,1
3368427,134.72,2019-05-06,6
311997080,15.59,2019-05-21,2
102201495,5.32,2019-01-21,1
143405168,237.68,2019-06-01,7
411598192,154.53,2019-02-28,1
91803986,106.44,2019-05-19,1
81078592,189.31,2019-04-15,7
80143761,9.64,2019-02-01,1
35027924,250.83,2019-04-26,3
94332570,581.73,2019-05-15,16
195833,530.56,2019-05-26,8
30653896,29.49,2019-06-01,2
